x,y,label,cluster_size
-3.452835067,104.229388,7,31
-4.348663159,103.0237296,7,31
-3.426920902,102.0157826,7,31
-4.60719705,103.4075045,7,31
-4.052312648,102.6578194,7,31
-2.701394375,101.4855959,-1,0
-3.089926967,102.2494771,7,31
-3.628231899,102.6416889,7,31
-3.827698004,102.3126908,7,31
-5.532772414,105.5005012,7,31
-4.809238441,104.8058936,7,31
-5.031743048,104.1902896,7,31
-4.372762209,105.5319382,-1,0
-5.435863403,104.6752099,7,31
-5.136651316,105.6490368,7,31
-4.516452291,104.6144902,7,31
-5.473490376,105.1102186,7,31
-5.330845232,104.9200154,7,31
-4.023735409,105.377875,-1,0
-5.38274194,104.2053716,7,31
-5.415381611,105.2669385,7,31
-2.869945711,107.7110316,-1,0
-2.770932907,106.3422716,8,3
-2.430082847,106.2433157,8,3
-1.890861132,105.4894531,-1,0
-2.907114018,108.0523758,-1,0
-2.110662765,106.113472,8,3
1.03052363,104.6131134,9,3
0.803263341,103.4257943,-1,0
3.921135366,108.2214502,-1,0
-0.224555145,104.5270902,-1,0
3.153552145,106.2317632,-1,0
0.962903307,104.0636829,9,3
0.920284956,104.4853133,9,3
-6.129207509,106.8690799,10,121
-6.165608865,106.7484026,10,121
-6.272679215,106.8100109,10,121
-6.255373357,106.9002687,10,121
-6.559979466,106.7675308,10,121
-7.076187589,106.7073077,10,121
-7.133715922,107.1577636,10,121
-7.099968711,107.6108412,10,121
-7.359556716,107.7888639,10,121
-7.496705827,108.1412965,10,121
-7.29053691,108.4286486,10,121
-7.004233297,108.5603006,10,121
-6.745639062,108.5515647,10,121
-6.815865345,108.2578116,10,121
-6.825065807,107.98085,10,121
-6.448788311,108.1685913,10,121
-6.483036497,107.732246,10,121
-6.595016242,107.4322095,10,121
-6.25202345,107.3542286,10,121
-6.215388666,107.1206598,10,121
-6.897055923,107.4149528,10,121
-7.635622135,108.5188497,10,121
-6.593453111,106.7995641,10,121
-6.939871775,106.9243321,10,121
-6.919135141,107.6366018,10,121
-6.741990681,108.5533291,10,121
-6.280230911,106.9756822,10,121
-6.396102153,106.816808,10,121
-6.886495191,107.5435823,10,121
-7.360251033,108.2193547,10,121
-7.376302002,108.5665017,10,121
-7.490962882,108.8904128,10,121
-7.455145165,109.1755799,10,121
-7.32291634,109.4073182,10,121
-7.351881864,109.6574193,10,121
-7.6551688,109.6173601,10,121
-7.699577246,109.9660374,10,121
-7.415535227,109.907223,10,121
-7.501579691,110.2467332,10,121
-7.418562111,110.6506564,10,121
-7.686395183,110.6198976,10,121
-7.68085738,110.8346285,10,121
-7.920201667,111.0004036,10,121
-7.614457727,111.0192655,10,121
-7.387131156,110.9774352,10,121
-7.116879641,110.9271007,10,121
-7.075962269,111.3876365,10,121
-6.775462784,111.461275,10,121
-6.743927284,111.0415158,10,121
-6.789068063,110.8697218,10,121
-6.548526316,110.767858,10,121
-6.910835788,110.63185,10,121
-7.272031349,110.4752654,10,121
-7.257858861,110.1356322,10,121
-7.037666058,110.1561194,10,121
-7.021267065,109.8614935,10,121
-7.056829236,109.6204168,10,121
-7.036441153,109.3950228,10,121
-7.031102081,109.1584051,10,121
-7.058903055,108.9279209,10,121
-7.558081725,110.8233894,10,121
-7.020507208,110.3896482,10,121
-6.893131827,109.6778206,10,121
-6.868935042,109.115658,10,121
-7.818871153,110.1674073,10,121
-7.901669343,110.3546924,10,121
-7.994236636,110.612061,10,121
-7.715434803,110.3834909,10,121
-8.126217558,111.1790327,10,121
-7.931320198,111.4993659,10,121
-8.161920882,111.6262706,10,121
-8.113254927,111.887202,10,121
-8.130108964,112.2381295,10,121
-7.828871403,112.089636,10,121
-8.126857019,112.6410753,10,121
